URLLength,DomainLength,IsDomainIP,TLDLength,TLDLegitimateProb,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,CharContinuationRate,URLCharProb,IsHTTPS,HasValidSSL,HasHyphen,HasSuspiciousTLD,IsShortened,HasAtSymbol,HasDoubleSlash,label
34,21,0,4,0.15,27,0.7941,0,0.0,0,0,0,0,0.0,1,0,0,0.0,0.9643,0.7714,1,1,0,0,0,0,0,0
33,21,0,4,0.15,26,0.7879,0,0.0,0,0,0,0,0.0,1,0,0,0.0,0.963,0.7647,1,1,0,0,0,0,0,0
33,21,0,4,0.15,26,0.7879,0,0.0,0,0,0,0,0.0,1,0,0,0.0,0.963,0.7647,1,1,0,0,0,0,0,0
33,21,0,4,0.15,26,0.7879,0,0.0,0,0,0,0,0.0,1,0,0,0.0,0.963,0.7647,1,1,0,0,0,0,0,0
33,21,0,4,0.15,26,0.7879,0,0.0,0,0,0,0,0.0,1,0,0,0.0,0.963,0.7647,1,1,0,0,0,0,0,0
33,21,0,4,0.15,26,0.7879,0,0.0,0,0,0,0,0.0,1,0,0,0.0,0.963,0.7647,1,1,0,0,0,0,0,0
27,12,0,3,0.52,21,0.7778,1,0.037,0,0,0,0,0.0,0,0,0,0.0,0.913,0.75,1,0,0,0,0,0,0,0
52,17,0,2,0.15,31,0.5962,12,0.2308,0,0,0,0,0.0,2,0,0,0.0,0.7045,0.5849,1,1,0,0,0,0,0,0
33,24,0,2,0.4,26,0.7879,0,0.0,0,0,0,1,0.0303,1,0,0,0.0,0.963,0.7647,1,1,1,0,0,0,0,0
42,33,0,3,0.15,33,0.7857,0,0.0,0,0,0,3,0.0714,1,0,0,0.0,0.9706,0.7674,1,0,1,0,0,0,0,0
45,37,0,3,0.15,35,0.7778,0,0.0,0,0,0,3,0.0667,2,0,0,0.0,0.9722,0.7609,0,0,1,0,0,0,0,0
